,Year,Life_expectancy_at_birth__historical_,Population,CntryCd
0,1960,32.5,8622466,AFG
1,1961,33.1,8790140,AFG
2,1962,33.5,8969047,AFG
3,1963,34,9157465,AFG
4,1964,34.5,9355514,AFG
5,1965,35,9565147,AFG
6,1966,35.5,9783147,AFG
7,1967,35.9,10010030,AFG
8,1968,36.4,10247780,AFG
9,1969,36.9,10494489,AFG
10,1970,37.4,10752971,AFG
11,1971,37.9,11015857,AFG
12,1972,38.4,11286753,AFG
13,1973,39,11575305,AFG
14,1974,39.5,11869879,AFG
15,1975,40.1,12157386,AFG
16,1976,40.6,12425267,AFG
17,1977,41.2,12687301,AFG
18,1978,40.3,12938862,AFG
19,1979,39.1,12986369,AFG
20,1980,39.6,12486631,AFG
21,1981,40.2,11155195,AFG
22,1982,37.8,10088289,AFG
23,1983,38.2,9951449,AFG
24,1984,33.3,10243686,AFG
25,1985,33.6,10512221,AFG
26,1986,39.4,10448442,AFG
27,1987,39.8,10322758,AFG
28,1988,44,10383460,AFG
29,1989,45.2,10673168,AFG
30,1990,46,10694796,AFG
31,1991,46.7,10745167,AFG
32,1992,47.6,12057433,AFG
33,1993,51.5,14003760,AFG
34,1994,51.5,15455555,AFG
35,1995,52.5,16418912,AFG
36,1996,53.2,17106595,AFG
37,1997,53.6,17788819,AFG
38,1998,52.9,18493132,AFG
39,1999,54.8,19262847,AFG
40,2000,55.3,19542982,AFG
41,2001,55.8,19688632,AFG
42,2002,56.5,21000256,AFG
43,2003,57.3,22645130,AFG
44,2004,57.9,23553551,AFG
45,2005,58.4,24411191,AFG
46,2006,58.7,25442944,AFG
47,2007,59.1,25903301,AFG
48,2008,59.9,26427199,AFG
49,2009,60.4,27385307,AFG
50,2010,60.9,28189672,AFG
51,2011,61.4,29249157,AFG
52,2012,61.9,30466479,AFG
53,2013,62.4,31541209,AFG
54,2014,62.5,32716210,AFG
55,2015,62.7,33753499,AFG
56,2016,63.1,34636207,AFG
57,2017,63,35643418,AFG
58,2018,63.1,36686784,AFG
59,2019,63.6,37769499,AFG
60,2020,62.6,38972230,AFG
61,2021,62,40099462,AFG
62,1960,38.2,5357195,AGO
63,1961,37.3,5441333,AGO
64,1962,37.5,5521400,AGO
65,1963,37.8,5599827,AGO
66,1964,38.1,5673199,AGO
67,1965,38.5,5736582,AGO
68,1966,38.8,5787044,AGO
69,1967,39.1,5827503,AGO
70,1968,39.5,5868203,AGO
71,1969,39.8,5928386,AGO
72,1970,40.2,6029700,AGO
73,1971,40.6,6177049,AGO
74,1972,40.9,6364731,AGO
75,1973,41.3,6578230,AGO
76,1974,41.7,6802494,AGO
77,1975,41.2,7032713,AGO
78,1976,41.2,7266780,AGO
79,1977,41.4,7511895,AGO
80,1978,41.8,7771590,AGO
81,1979,42.2,8043218,AGO
82,1980,42.4,8330047,AGO
83,1981,42.8,8631457,AGO
84,1982,43.1,8947152,AGO
85,1983,42.1,9276707,AGO
86,1984,42.4,9617702,AGO
87,1985,42.6,9970621,AGO
88,1986,42.8,10332574,AGO
89,1987,40.9,10694057,AGO
90,1988,41.5,11060261,AGO
91,1989,41.8,11439498,AGO
92,1990,41.9,11828638,AGO
93,1991,43.8,12228691,AGO
94,1992,42.2,12632507,AGO
95,1993,42.1,13038270,AGO
96,1994,43.4,13462031,AGO
97,1995,45.8,13912253,AGO
98,1996,46,14383350,AGO
99,1997,46.3,14871146,AGO
100,1998,45.1,15366864,AGO
101,1999,45.4,15870753,AGO
102,2000,46,16394062,AGO
103,2001,46.6,16941587,AGO
104,2002,47.4,17516139,AGO
105,2003,49.6,18124342,AGO
106,2004,50.6,18771125,AGO
107,2005,51.6,19450959,AGO
108,2006,52.4,20162340,AGO
109,2007,53.6,20909684,AGO
110,2008,54.6,21691522,AGO
111,2009,55.8,22507674,AGO
112,2010,56.7,23364185,AGO
113,2011,57.6,24259111,AGO
114,2012,58.6,25188292,AGO
115,2013,59.3,26147002,AGO
116,2014,60,27128337,AGO
117,2015,60.7,28127721,AGO
118,2016,61.1,29154746,AGO
119,2017,61.7,30208628,AGO
120,2018,62.1,31273533,AGO
121,2019,62.4,32353588,AGO
122,2020,62.3,33428486,AGO
123,2021,61.6,34503774,AGO
124,1960,54.4,1608800,ALB
125,1961,55.6,1659800,ALB
126,1962,56.7,1711319,ALB
127,1963,57.8,1762621,ALB
128,1964,59,1814135,ALB
129,1965,60,1864791,ALB
130,1966,61,1914573,ALB
131,1967,62,1965598,ALB
132,1968,62.9,2022272,ALB
133,1969,63.9,2081695,ALB
134,1970,64.8,2135479,ALB
135,1971,65.6,2187853,ALB
136,1972,66.4,2243126,ALB
137,1973,67.1,2296752,ALB
138,1974,67.8,2350124,ALB
139,1975,68.3,2404831,ALB
140,1976,68.7,2458526,ALB
141,1977,69.1,2513546,ALB
142,1978,69.3,2566266,ALB
143,1979,69.6,2617832,ALB
144,1980,70.5,2671997,ALB
145,1981,70.7,2726056,ALB
146,1982,71,2784278,ALB
147,1983,71.3,2843960,ALB
148,1984,71.5,2904429,ALB
149,1985,71.7,2964762,ALB
150,1986,71.9,3022635,ALB
151,1987,72.4,3083605,ALB
152,1988,72.6,3142336,ALB
153,1989,72.9,3227943,ALB
154,1990,73.1,3286542,ALB
155,1991,73.4,3266790,ALB
156,1992,73.7,3247039,ALB
157,1993,73.9,3227287,ALB
158,1994,74.1,3207536,ALB
159,1995,74.4,3187784,ALB
160,1996,74.6,3168033,ALB
161,1997,73.9,3148281,ALB
162,1998,75,3128530,ALB
163,1999,75.2,3108778,ALB
164,2000,75.4,3089027,ALB
165,2001,75.6,3060173,ALB
166,2002,75.9,3051010,ALB
167,2003,76.1,3039616,ALB
168,2004,76.4,3026939,ALB
169,2005,76.6,3011487,ALB
170,2006,76.8,2992547,ALB
171,2007,77.5,2970017,ALB
172,2008,77.7,2947314,ALB
173,2009,77.8,2927519,ALB
174,2010,77.9,2913021,ALB
175,2011,78.1,2905195,ALB
176,2012,78.1,2900401,ALB
177,2013,78.1,2895092,ALB
178,2014,78.4,2889104,ALB
179,2015,78.6,2880703,ALB
180,2016,78.9,2876101,ALB
181,2017,79,2873457,ALB
182,2018,79.2,2866376,ALB
183,2019,79.3,2854191,ALB
184,2020,77,2837849,ALB
185,2021,76.5,2811666,ALB
186,1960,48.8,133426,ARE
187,1961,49.7,140984,ARE
188,1962,50.7,148877,ARE
189,1963,51.6,157006,ARE
190,1964,52.8,165305,ARE
191,1965,54,173797,ARE
192,1966,55.2,182509,ARE
193,1967,56.3,191404,ARE
194,1968,57.5,213582,ARE
195,1969,58.8,253261,ARE
196,1970,60,298084,ARE
197,1971,61.2,344513,ARE
198,1972,62.3,392368,ARE
199,1973,63.4,441546,ARE
200,1974,64.3,491955,ARE
201,1975,65.1,543394,ARE
202,1976,65.8,614177,ARE
203,1977,66.5,706861,ARE
204,1978,67.2,805231,ARE
205,1979,67.8,908452,ARE
206,1980,68.5,1014048,ARE
207,1981,69.1,1100180,ARE
208,1982,69.7,1167856,ARE
209,1983,69.9,1237572,ARE
210,1984,70.5,1308331,ARE
211,1985,70.7,1379536,ARE
212,1986,71,1468697,ARE
213,1987,71.5,1575909,ARE
214,1988,71.6,1683681,ARE
215,1989,71.8,1791840,ARE
216,1990,71.9,1900151,ARE
217,1991,72.2,2008383,ARE
218,1992,72.3,2116231,ARE
219,1993,72.5,2223284,ARE
220,1994,72.6,2329024,ARE
221,1995,72.7,2433988,ARE
222,1996,72.8,2572735,ARE
223,1997,72.9,2746119,ARE
224,1998,73.1,2921130,ARE
225,1999,73.7,3097563,ARE
226,2000,74.4,3275333,ARE
227,2001,74.6,3454198,ARE
228,2002,74.9,3633655,ARE
229,2003,76.2,3813443,ARE
230,2004,76.5,3993339,ARE
231,2005,76.7,4280993,ARE
232,2006,76.9,4898954,ARE
233,2007,77.1,5872624,ARE
234,2008,77.5,6988685,ARE
235,2009,78,7992644,ARE
236,2010,78.3,8481771,ARE
237,2011,78.5,8575205,ARE
238,2012,78.7,8664969,ARE
239,2013,78.9,8751847,ARE
240,2014,79,8835951,ARE
241,2015,79.2,8916899,ARE
242,2016,79.3,8994263,ARE
243,2017,79.5,9068296,ARE
244,2018,79.6,9140169,ARE
245,2019,79.7,9211657,ARE
246,2020,78.9,9287289,ARE
247,2021,78.7,9365145,ARE
248,1960,64,20349744,ARG
249,1961,64.4,20680653,ARG
250,1962,64.2,21020359,ARG
251,1963,64.4,21364017,ARG
252,1964,64.4,21708487,ARG
253,1965,64.6,22053661,ARG
254,1966,64.9,22403116,ARG
255,1967,65,22757014,ARG
256,1968,64.9,23112971,ARG
257,1969,64.9,23472028,ARG
258,1970,65.6,23842803,ARG
259,1971,65.5,24223379,ARG
260,1972,65.9,24612794,ARG
261,1973,66.3,25020588,ARG
262,1974,66.6,25449754,ARG
263,1975,67.1,25875558,ARG
264,1976,67.2,26290257,ARG
265,1977,67.9,26713780,ARG
266,1978,68.2,27146121,ARG
267,1979,68.5,27584134,ARG
268,1980,68.6,28024803,ARG
269,1981,69,28471285,ARG
270,1982,68.9,28922762,ARG
271,1983,69.3,29377137,ARG
272,1984,69.2,29832197,ARG
273,1985,69.7,30287112,ARG
274,1986,70.1,30748326,ARG
275,1987,70.6,31216453,ARG
276,1988,71.1,31690792,ARG
277,1989,71.4,32165766,ARG
278,1990,71.8,32637657,ARG
279,1991,72.3,33105763,ARG
280,1992,72.4,33568285,ARG
281,1993,72.6,34027240,ARG
282,1994,73.2,34488696,ARG
283,1995,73.1,34946110,ARG
284,1996,73.3,35389362,ARG
285,1997,73.1,35815971,ARG
286,1998,73.5,36233195,ARG
287,1999,73.7,36653031,ARG
288,2000,73.9,37070774,ARG
289,2001,74.2,37480493,ARG
290,2002,74.4,37885028,ARG
291,2003,74.1,38278164,ARG
292,2004,74.9,38668796,ARG
293,2005,75.1,39070501,ARG
294,2006,75.4,39476851,ARG
295,2007,75,39876111,ARG
296,2008,75.6,40273769,ARG
297,2009,75.9,40684338,ARG
298,2010,75.7,40788453,ARG
299,2011,76.1,41261490,ARG
300,2012,76.5,41733271,ARG
301,2013,76.5,42202935,ARG
302,2014,76.8,42669500,ARG
303,2015,76.8,43131966,ARG
304,2016,76.3,43590368,ARG
305,2017,76.8,44044811,ARG
306,2018,77,44494502,ARG
307,2019,77.3,44938712,ARG
308,2020,75.9,45376763,ARG
309,2021,75.4,45808747,ARG
310,1960,61.4,1904148,ARM
311,1961,61.8,1971530,ARM
312,1962,62.1,2039346,ARM
313,1963,62.2,2106142,ARM
314,1964,62.4,2171029,ARM
315,1965,62.8,2234051,ARM
316,1966,62.9,2295496,ARM
317,1967,63.2,2355997,ARM
318,1968,63.3,2416461,ARM
319,1969,63.7,2476359,ARM
320,1970,63.9,2534377,ARM
321,1971,64.2,2590923,ARM
322,1972,64.5,2648048,ARM
323,1973,64.6,2706852,ARM
324,1974,64.8,2767646,ARM
325,1975,65,2830798,ARM
326,1976,65.2,2896311,ARM
327,1977,65.4,2965523,ARM
328,1978,65.7,3038224,ARM
329,1979,66,3097058,ARM
330,1980,66.2,3135123,ARM
331,1981,66.6,3167876,ARM
332,1982,66.9,3202011,ARM
333,1983,67.2,3238291,ARM
334,1984,67.5,3272102,ARM
335,1985,67.9,3300896,ARM
336,1986,68.2,3327182,ARM
337,1987,68.1,3351364,ARM
338,1988,53.9,3366838,ARM
339,1989,68.7,3448186,ARM
340,1990,68.8,3556539,ARM
341,1991,68.6,3617631,ARM
342,1992,68.6,3574555,ARM
343,1993,68.8,3457349,ARM
344,1994,69.1,3373713,ARM
345,1995,69.3,3322782,ARM
346,1996,69.8,3298898,ARM
347,1997,69.9,3271418,ARM
348,1998,70.5,3240550,ARM
349,1999,70.3,3206030,ARM
350,2000,70.6,3168523,ARM
351,2001,70.9,3133133,ARM
352,2002,71,3105037,ARM
353,2003,71.4,3084102,ARM
354,2004,71.4,3065745,ARM
355,2005,71.8,3047246,ARM
356,2006,72,3026486,ARM
357,2007,72.3,3004393,ARM
358,2008,72.4,2983421,ARM
359,2009,72.8,2964296,ARM
360,2010,73.2,2946293,ARM
361,2011,73.3,2928976,ARM
362,2012,73.5,2914421,ARM
363,2013,73.7,2901385,ARM
364,2014,74.1,2889930,ARM
365,2015,74.4,2878595,ARM
366,2016,74.7,2865835,ARM
367,2017,74.9,2851923,ARM
368,2018,75.1,2836557,ARM
369,2019,75.4,2820602,ARM
370,2020,72.2,2805608,ARM
371,2021,72,2790974,ARM
372,1960,64.7,20085,ASM
373,1961,65.5,20626,ASM
374,1962,65.9,21272,ASM
375,1963,65.9,21949,ASM
